control branch bit logical arith datamov
0 10 1 1 14 76 
0 10 1 1 14 76 
0 5 2 3 0 112 
0 1 0 0 0 0 
0 6 0 1 0 53 
0 4 4 2 22 82 
0 11 6 2 13 140 
0 5 2 0 16 74 
0 6 0 0 2 31 
0 46 0 23 0 602 
0 13 5 5 16 173 
0 2 0 0 2 49 
0 2 0 766 0 3331 
0 1 0 0 0 0 
0 1 0 0 0 0 
0 16 0 11 10 151 
0 19 4 9 46 162 
0 17 4 21 8 295 
0 16 2 4 32 138 
0 18 0 3 12 118 
0 0 0 0 0 0 
0 4 1 2 115 256 
1 4 0 1 0 28 
0 14 0 48 36 290 
0 4 0 5 0 59 
0 2 0 0 0 12 
0 2 0 4 0 16 
0 2 1 0 448 1563 
0 774 2 0 1538 7984 
0 4 1 1 0 63 
0 3 0 0 0 36 
0 3 0 0 2 36 
0 3 2 4 0 66 
0 1 0 0 0 0 
0 3 0 2 0 20 
0 11 5 17 64 255 
0 11 3 7 18 61 
0 4 0 1 1 28 
0 8 1 1 7 76 
0 24 2 8 91 147 
0 16 6 4 16 144 
0 849 365 486 488 8277 
0 53 1 33 0 649 
0 4 0 18 3 64 
0 8 4 0 6 126 
0 67 317 0 96 716 
0 6 0 2 0 104 
0 13 2 12 16 192 
0 42 0 0 0 540 
